PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25716844","Effector specificity in macaque frontal and parietal cortex","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2015 Feb 25;35(8):3446-59. doi: 10.1523/JNEUROSCI.3710-14.2015.","Premereur E","J Neurosci","2015","2015/02/27","PMC6605566","","10.1523/JNEUROSCI.3710-14.2015"
"20558314","Bridging language and attention: brain basis of the impact of bilingualism on cognitive control","Garbin G, Sanjuan A, Forn C, Bustamante JC, Rodriguez-Pujadas A, Belloch V, Hernandez M, Costa A, Avila C.","Neuroimage. 2010 Dec;53(4):1272-8. doi: 10.1016/j.neuroimage.2010.05.078. Epub 2010 Jun 15.","Garbin G","Neuroimage","2010","2010/06/19","","","10.1016/j.neuroimage.2010.05.078"
"24343891","Selective attentional enhancement and inhibition of fronto-posterior connectivity by the basal ganglia during attention switching","van Schouwenburg MR, den Ouden HE, Cools R.","Cereb Cortex. 2015 Jun;25(6):1527-34. doi: 10.1093/cercor/bht345. Epub 2013 Dec 15.","van Schouwenburg MR","Cereb Cortex","2015","2013/12/18","","","10.1093/cercor/bht345"
"12925284","Neural mechanisms of transient and sustained cognitive control during task switching","Braver TS, Reynolds JR, Donaldson DI.","Neuron. 2003 Aug 14;39(4):713-26. doi: 10.1016/s0896-6273(03)00466-5.","Braver TS","Neuron","2003","2003/08/20","","","10.1016/s0896-6273(03)00466-5"
"10869577","Attentional set shifting modulates the target P3b response in the Wisconsin card sorting test","Barceló F, Muñoz-Céspedes JM, Pozo MA, Rubia FJ.","Neuropsychologia. 2000;38(10):1342-55. doi: 10.1016/s0028-3932(00)00046-4.","Barceló F","Neuropsychologia","2000","2000/06/28","","","10.1016/s0028-3932(00)00046-4"
"29036632","Mapping Compulsivity in the DSM-5 Obsessive Compulsive and Related Disorders: Cognitive Domains, Neural Circuitry, and Treatment","Fineberg NA, Apergis-Schoute AM, Vaghi MM, Banca P, Gillan CM, Voon V, Chamberlain SR, Cinosi E, Reid J, Shahper S, Bullmore ET, Sahakian BJ, Robbins TW.","Int J Neuropsychopharmacol. 2018 Jan 1;21(1):42-58. doi: 10.1093/ijnp/pyx088.","Fineberg NA","Int J Neuropsychopharmacol","2018","2017/10/17","PMC5795357","","10.1093/ijnp/pyx088"
"39126346","Brain activations elicited during task-switching generalize beyond the task: A partial least squares correlation approach to combine fMRI signals and cognition","Skolasinska P, Qin S, Voss M, Lee HK, Basak C.","Hum Brain Mapp. 2024 Aug 1;45(11):e26804. doi: 10.1002/hbm.26804.","Skolasinska P","Hum Brain Mapp","2024","2024/08/10","PMC11316247","","10.1002/hbm.26804"
"27907075","ERP Correlates of Encoding Success and Encoding Selectivity in Attention Switching","Richter FR, Yeung N.","PLoS One. 2016 Dec 1;11(12):e0167396. doi: 10.1371/journal.pone.0167396. eCollection 2016.","Richter FR","PLoS One","2016","2016/12/02","PMC5131936","","10.1371/journal.pone.0167396"
"35714977","Differential impact of glycemic control and comorbid conditions on the neurophysiology underlying task switching in older adults with type 2 diabetes","Embury CM, Lord GH, Drincic AT, Desouza CV, Wilson TW.","Aging (Albany NY). 2022 Jun 17;14(12):4976-4989. doi: 10.18632/aging.204129. Epub 2022 Jun 17.","Embury CM","Aging (Albany NY)","2022","2022/06/17","PMC9271300","","10.18632/aging.204129"
"19805420","Age-related shifts in brain activity dynamics during task switching","Jimura K, Braver TS.","Cereb Cortex. 2010 Jun;20(6):1420-31. doi: 10.1093/cercor/bhp206. Epub 2009 Oct 5.","Jimura K","Cereb Cortex","2010","2009/10/07","PMC2871374","","10.1093/cercor/bhp206"
"15869491","Cocaine dependence and attention switching within and between verbal and visuospatial working memory","Kübler A, Murphy K, Garavan H.","Eur J Neurosci. 2005 Apr;21(7):1984-92. doi: 10.1111/j.1460-9568.2005.04027.x.","Kübler A","Eur J Neurosci","2005","2005/05/05","","","10.1111/j.1460-9568.2005.04027.x"
"30113310","Integrated externally and internally generated task predictions jointly guide cognitive control in prefrontal cortex","Jiang J, Wagner AD, Egner T.","Elife. 2018 Aug 16;7:e39497. doi: 10.7554/eLife.39497.","Jiang J","Elife","2018","2018/08/17","PMC6126922","","10.7554/eLife.39497"
"39583202","The Role of the Dorsolateral Prefrontal Cortex in Bilingual Language Switching and Non-Linguistic Task-Switching: Evidence from Multi-Voxel Pattern Analysis","Vaughn KA, Tamber-Rosenau BJ, Hernandez AE.","Biling (Camb Engl). 2024 Aug;27(4):690-699. doi: 10.1017/s1366728923000834. Epub 2023 Dec 6.","Vaughn KA","Biling (Camb Engl)","2024","2024/11/25","PMC11580812","NIHMS1944213","10.1017/s1366728923000834"
"31114967","Performance and brain activity during the Wisconsin Card Sorting Test in adolescents with obsessive-compulsive disorder and adolescents with weight-restored anorexia nervosa","Bohon C, Weinbach N, Lock J.","Eur Child Adolesc Psychiatry. 2020 Feb;29(2):217-226. doi: 10.1007/s00787-019-01350-4. Epub 2019 May 21.","Bohon C","Eur Child Adolesc Psychiatry","2020","2019/05/23","PMC6868308","NIHMS1529986","10.1007/s00787-019-01350-4"
"15090477","A componential analysis of task-switching deficits associated with lesions of left and right frontal cortex","Aron AR, Monsell S, Sahakian BJ, Robbins TW.","Brain. 2004 Jul;127(Pt 7):1561-73. doi: 10.1093/brain/awh169. Epub 2004 Apr 16.","Aron AR","Brain","2004","2004/04/20","","","10.1093/brain/awh169"
"27879030","Age-related decline in task switching is linked to both global and tract-specific changes in white matter microstructure","Jolly TA, Cooper PS, Rennie JL, Levi CR, Lenroot R, Parsons MW, Michie PT, Karayanidis F.","Hum Brain Mapp. 2017 Mar;38(3):1588-1603. doi: 10.1002/hbm.23473. Epub 2016 Nov 23.","Jolly TA","Hum Brain Mapp","2017","2016/11/24","PMC6866847","","10.1002/hbm.23473"
"23811486","White matter microstructure correlates of inhibition and task-switching in adolescents","Seghete KL, Herting MM, Nagel BJ.","Brain Res. 2013 Aug 21;1527:15-28. doi: 10.1016/j.brainres.2013.06.003. Epub 2013 Jun 28.","Seghete KL","Brain Res","2013","2013/07/02","PMC3758237","NIHMS502314","10.1016/j.brainres.2013.06.003"
"26197092","Neural networks supporting switching, hypothesis testing, and rule application","Liu Z, Braunlich K, Wehe HS, Seger CA.","Neuropsychologia. 2015 Oct;77:19-34. doi: 10.1016/j.neuropsychologia.2015.07.019. Epub 2015 Jul 18.","Liu Z","Neuropsychologia","2015","2015/07/22","PMC4609611","NIHMS714422","10.1016/j.neuropsychologia.2015.07.019"
"35912077","Extraversion Is Associated With Lower Brain Beta-Amyloid Deposition in Cognitively Normal Older Adults","Oh H.","Front Aging Neurosci. 2022 Jul 13;14:900581. doi: 10.3389/fnagi.2022.900581. eCollection 2022.","Oh H","Front Aging Neurosci","2022","2022/08/01","PMC9325961","","10.3389/fnagi.2022.900581"
"37330623","Functional Connectivity Alterations of Cognitive Flexibility in Aging: Different Patterns of Global and Local Switch Costs","Li T, Xia H, Li H, He Q, Chen A.","J Gerontol B Psychol Sci Soc Sci. 2023 Oct 9;78(10):1651-1658. doi: 10.1093/geronb/gbad092.","Li T","J Gerontol B Psychol Sci Soc Sci","2023","2023/06/17","","","10.1093/geronb/gbad092"
"31299188","Inhibit, switch, and update: A within-subject fMRI investigation of executive control","Lemire-Rodger S, Lam J, Viviano JD, Stevens WD, Spreng RN, Turner GR.","Neuropsychologia. 2019 Sep;132:107134. doi: 10.1016/j.neuropsychologia.2019.107134. Epub 2019 Jul 9.","Lemire-Rodger S","Neuropsychologia","2019","2019/07/13","","","10.1016/j.neuropsychologia.2019.107134"
"34651177","Fathers' involvement in early childcare is associated with amygdala resting-state connectivity","Horstman LI, Riem MME, Alyousefi-van Dijk K, Lotz AM, Bakermans-Kranenburg MJ.","Soc Cogn Affect Neurosci. 2022 Feb 15;17(2):198-205. doi: 10.1093/scan/nsab086.","Horstman LI","Soc Cogn Affect Neurosci","2022","2021/10/15","PMC8847902","","10.1093/scan/nsab086"
"23415793","Boosting brain functions: Improving executive functions with behavioral training, neurostimulation, and neurofeedback","Enriquez-Geppert S, Huster RJ, Herrmann CS.","Int J Psychophysiol. 2013 Apr;88(1):1-16. doi: 10.1016/j.ijpsycho.2013.02.001. Epub 2013 Feb 13.","Enriquez-Geppert S","Int J Psychophysiol","2013","2013/02/19","","","10.1016/j.ijpsycho.2013.02.001"
"20303998","Executive impairment in Parkinson's disease: response automaticity and task switching","Cameron IG, Watanabe M, Pari G, Munoz DP.","Neuropsychologia. 2010 Jun;48(7):1948-57. doi: 10.1016/j.neuropsychologia.2010.03.015. Epub 2010 Mar 19.","Cameron IG","Neuropsychologia","2010","2010/03/23","","","10.1016/j.neuropsychologia.2010.03.015"
"25601237","Reward Motivation Enhances Task Coding in Frontoparietal Cortex","Etzel JA, Cole MW, Zacks JM, Kay KN, Braver TS.","Cereb Cortex. 2016 Apr;26(4):1647-59. doi: 10.1093/cercor/bhu327. Epub 2015 Jan 19.","Etzel JA","Cereb Cortex","2016","2015/01/21","PMC4785950","","10.1093/cercor/bhu327"
"16157405","The lateralized readiness potential and P300 of stimulus-set switching","Hsieh S.","Int J Psychophysiol. 2006 Jun;60(3):284-91. doi: 10.1016/j.ijpsycho.2005.07.011. Epub 2005 Sep 12.","Hsieh S","Int J Psychophysiol","2006","2005/09/15","","","10.1016/j.ijpsycho.2005.07.011"
"21833196","Advance preparation in task-switching: converging evidence from behavioral, brain activation, and model-based approaches","Karayanidis F, Jamadar S, Ruge H, Phillips N, Heathcote A, Forstmann BU.","Front Psychol. 2010 Jul 15;1:25. doi: 10.3389/fpsyg.2010.00025. eCollection 2010.","Karayanidis F","Front Psychol","2010","2011/08/12","PMC3153745","","10.3389/fpsyg.2010.00025"
"26555341","Working Memory, Reasoning, and Task Switching Training: Transfer Effects, Limitations, and Great Expectations?","Baniqued PL, Allen CM, Kranz MB, Johnson K, Sipolins A, Dickens C, Ward N, Geyer A, Kramer AF.","PLoS One. 2015 Nov 10;10(11):e0142169. doi: 10.1371/journal.pone.0142169. eCollection 2015.","Baniqued PL","PLoS One","2015","2015/11/12","PMC4640538","","10.1371/journal.pone.0142169"
"37584586","Association of Intrinsic Functional Connectivity between the Locus Coeruleus and Salience Network with Attentional Ability","Neal J, Song I, Katz B, Lee TH.","J Cogn Neurosci. 2023 Oct 1;35(10):1557-1569. doi: 10.1162/jocn_a_02036.","Neal J","J Cogn Neurosci","2023","2023/08/16","PMC11311826","NIHMS2009325","10.1162/jocn_a_02036"
"25477246","Brain function during cognitive flexibility and white matter integrity in alcohol-dependent patients, problematic drinkers and healthy controls","Jansen JM, van Holst RJ, van den Brink W, Veltman DJ, Caan MW, Goudriaan AE.","Addict Biol. 2015 Sep;20(5):979-89. doi: 10.1111/adb.12199. Epub 2014 Dec 5.","Jansen JM","Addict Biol","2015","2014/12/06","","","10.1111/adb.12199"
"29273689","Multiple pathways of reserve simultaneously present in cognitively normal older adults","Oh H, Razlighi QR, Stern Y.","Neurology. 2018 Jan 16;90(3):e197-e205. doi: 10.1212/WNL.0000000000004829. Epub 2017 Dec 22.","Oh H","Neurology","2018","2017/12/24","PMC5772159","","10.1212/WNL.0000000000004829"
"32253797","Attention shifting in the context of emotional faces: Disentangling neural mechanisms of irritability from anxiety","Kryza-Lacombe M, Kiefer C, Schwartz KTG, Strickland K, Wiggins JL.","Depress Anxiety. 2020 Jul;37(7):645-656. doi: 10.1002/da.23010. Epub 2020 Apr 6.","Kryza-Lacombe M","Depress Anxiety","2020","2020/04/08","PMC8312255","NIHMS1579699","10.1002/da.23010"
"27535904","Higher Intelligence Is Associated with Less Task-Related Brain Network Reconfiguration","Schultz DH, Cole MW.","J Neurosci. 2016 Aug 17;36(33):8551-61. doi: 10.1523/JNEUROSCI.0358-16.2016.","Schultz DH","J Neurosci","2016","2016/08/19","PMC4987432","","10.1523/JNEUROSCI.0358-16.2016"
"38452884","Isolation of Distinct Networks Driving Action and Cognition in Psychomotor Processes","Moussa-Tooks AB, Beermann A, Manzanarez Felix K, Coleman M, Bouix S, Holt D, Lewandowski KE, Öngür D, Breier A, Shenton ME, Heckers S, Walther S, Brady RO Jr, Ward HB.","Biol Psychiatry. 2024 Sep 1;96(5):390-400. doi: 10.1016/j.biopsych.2024.02.1013. Epub 2024 Mar 5.","Moussa-Tooks AB","Biol Psychiatry","2024","2024/03/07","PMC11414019","NIHMS2019119","10.1016/j.biopsych.2024.02.1013"
"20635305","A case of 'task-switching acalculia'","Domahs F, Benke T, Delazer M.","Neurocase. 2011 Feb;17(1):24-40. doi: 10.1080/13554794.2010.487829. Epub 2010 Jul 14.","Domahs F","Neurocase","2011","2010/07/17","","","10.1080/13554794.2010.487829"
"20123028","The spatial and temporal dynamics of anticipatory preparation and response inhibition in task-switching","Jamadar S, Hughes M, Fulham WR, Michie PT, Karayanidis F.","Neuroimage. 2010 May 15;51(1):432-49. doi: 10.1016/j.neuroimage.2010.01.090. Epub 2010 Feb 1.","Jamadar S","Neuroimage","2010","2010/02/04","","","10.1016/j.neuroimage.2010.01.090"
"24812074","Characterizing switching and congruency effects in the Implicit Association Test as reactive and proactive cognitive control","Hilgard J, Bartholow BD, Dickter CL, Blanton H.","Soc Cogn Affect Neurosci. 2015 Mar;10(3):381-8. doi: 10.1093/scan/nsu060. Epub 2014 May 7.","Hilgard J","Soc Cogn Affect Neurosci","2015","2014/05/10","PMC4350479","","10.1093/scan/nsu060"
"29194294","Task switching following 24 h of total sleep deprivation: a functional MRI study","Nakashima A, Bouak F, Lam Q, Smith I, Vartanian O.","Neuroreport. 2018 Jan 17;29(2):123-127. doi: 10.1097/WNR.0000000000000934.","Nakashima A","Neuroreport","2018","2017/12/02","","","10.1097/WNR.0000000000000934"
"28337941","Lesion symptom map of cognitive-postural interference in multiple sclerosis","Ruggieri S, Fanelli F, Castelli L, Petsas N, De Giglio L, Prosperini L.","Mult Scler. 2018 Apr;24(5):653-662. doi: 10.1177/1352458517701313. Epub 2017 Mar 24.","Ruggieri S","Mult Scler","2018","2017/03/25","PMC5946662","","10.1177/1352458517701313"
"23238739","Switch-related and general preparation processes in task-switching: evidence from multivariate pattern classification of EEG data","Mansfield EL, Karayanidis F, Cohen MX.","J Neurosci. 2012 Dec 12;32(50):18253-8. doi: 10.1523/JNEUROSCI.0737-12.2012.","Mansfield EL","J Neurosci","2012","2012/12/15","PMC6621749","","10.1523/JNEUROSCI.0737-12.2012"
"18417237","Cardiovascular fitness and executive control during task-switching: an ERP study","Scisco JL, Leynes PA, Kang J.","Int J Psychophysiol. 2008 Jul;69(1):52-60. doi: 10.1016/j.ijpsycho.2008.02.009. Epub 2008 Mar 6.","Scisco JL","Int J Psychophysiol","2008","2008/04/18","","","10.1016/j.ijpsycho.2008.02.009"
"16630582","Movement-related EEG indices of preparation in task switching and motor control","de Jong R, Gladwin TE, 't Hart BM.","Brain Res. 2006 Aug 11;1105(1):73-82. doi: 10.1016/j.brainres.2006.03.030. Epub 2006 Apr 21.","de Jong R","Brain Res","2006","2006/04/25","","","10.1016/j.brainres.2006.03.030"
"18717737","Neurophysiological signature of effective anticipatory task-set control: a task-switching investigation","Lavric A, Mizon GA, Monsell S.","Eur J Neurosci. 2008 Sep;28(5):1016-29. doi: 10.1111/j.1460-9568.2008.06372.x. Epub 2008 Aug 20.","Lavric A","Eur J Neurosci","2008","2008/08/23","","","10.1111/j.1460-9568.2008.06372.x"
"25569792","Conflict monitoring and adjustment in the task-switching paradigm under different memory load conditions: an ERP/sLORETA analysis","Deng Y, Wang Y, Ding X, Tang YY.","Neuroreport. 2015 Feb 11;26(3):124-30. doi: 10.1097/WNR.0000000000000310.","Deng Y","Neuroreport","2015","2015/01/09","","","10.1097/WNR.0000000000000310"
"19111680","Electrophysiological evidence of the adaptive task-set inhibition in task switching","Hsieh S, Liu H.","Brain Res. 2009 Feb 19;1255:122-31. doi: 10.1016/j.brainres.2008.11.103. Epub 2008 Dec 16.","Hsieh S","Brain Res","2009","2008/12/30","","","10.1016/j.brainres.2008.11.103"
"15716164","Internally generated and directly cued task sets: an investigation with fMRI","Forstmann BU, Brass M, Koch I, von Cramon DY.","Neuropsychologia. 2005;43(6):943-52. doi: 10.1016/j.neuropsychologia.2004.08.008.","Forstmann BU","Neuropsychologia","2005","2005/02/18","","","10.1016/j.neuropsychologia.2004.08.008"
"33040664","Structural variation within the left globus pallidus is associated with task-switching, not stimulus updating or distractor filtering","Zacharopoulos G, Klingberg T, Cohen Kadosh R.","Cogn Neurosci. 2020 Jul-Oct;11(4):229-238. doi: 10.1080/17588928.2020.1813699. Epub 2020 Oct 10.","Zacharopoulos G","Cogn Neurosci","2020","2020/10/12","PMC7657600","","10.1080/17588928.2020.1813699"
"10401985","Neuronal substrates participating in attentional set-shifting of rules for visually guided motor selection: a functional magnetic resonance imaging investigation","Omori M, Yamada H, Murata T, Sadato N, Tanaka M, Ishii Y, Isaki K, Yonekura Y.","Neurosci Res. 1999 Apr;33(4):317-23. doi: 10.1016/s0168-0102(99)00022-x.","Omori M","Neurosci Res","1999","1999/07/13","","","10.1016/s0168-0102(99)00022-x"
"36858923","Changes in Cognition and Brain Function After 26 Weeks of Progressive Resistance Training in Older Adults at Risk for Diabetes: A Pilot Randomized Controlled Trial","Furlano JA, Horst BR, Petrella RJ, Shoemaker JK, Nagamatsu LS.","Can J Diabetes. 2023 Apr;47(3):250-256. doi: 10.1016/j.jcjd.2023.01.004. Epub 2023 Jan 13.","Furlano JA","Can J Diabetes","2023","2023/03/01","","","10.1016/j.jcjd.2023.01.004"
"15653291","The nature of switch cost: task set configuration or carry-over effect?","Hsieh S, Liu LC.","Brain Res Cogn Brain Res. 2005 Feb;22(2):165-75. doi: 10.1016/j.cogbrainres.2004.08.006.","Hsieh S","Brain Res Cogn Brain Res","2005","2005/01/18","","","10.1016/j.cogbrainres.2004.08.006"
"23994316","The neural mechanisms underlying internally and externally guided task selection","Orr JM, Banich MT.","Neuroimage. 2014 Jan 1;84:191-205. doi: 10.1016/j.neuroimage.2013.08.047. Epub 2013 Aug 30.","Orr JM","Neuroimage","2014","2013/09/03","PMC3849139","NIHMS521847","10.1016/j.neuroimage.2013.08.047"
"21443329","When goals collide: the interaction between prospective memory and task switching","West R, Scolaro AJ, Bailey K.","Can J Exp Psychol. 2011 Mar;65(1):38-47. doi: 10.1037/a0022810.","West R","Can J Exp Psychol","2011","2011/03/30","","","10.1037/a0022810"
"14622204","Attention capture by auditory significant stimuli: semantic analysis follows attention switching","Escera C, Yago E, Corral MJ, Corbera S, Nuñez MI.","Eur J Neurosci. 2003 Oct;18(8):2408-12. doi: 10.1046/j.1460-9568.2003.02937.x.","Escera C","Eur J Neurosci","2003","2003/11/19","","","10.1046/j.1460-9568.2003.02937.x"
"11069306","The role of prefrontal cortex and posterior parietal cortex in task switching","Sohn MH, Ursu S, Anderson JR, Stenger VA, Carter CS.","Proc Natl Acad Sci U S A. 2000 Nov 21;97(24):13448-53. doi: 10.1073/pnas.240460497.","Sohn MH","Proc Natl Acad Sci U S A","2000","2000/11/09","PMC27244","","10.1073/pnas.240460497"
"14683733","Task switching: a high-density electrical mapping study","Wylie GR, Javitt DC, Foxe JJ.","Neuroimage. 2003 Dec;20(4):2322-42. doi: 10.1016/j.neuroimage.2003.08.010.","Wylie GR","Neuroimage","2003","2003/12/20","","","10.1016/j.neuroimage.2003.08.010"
"22956332","Brain activity related to the ability to inhibit previous task sets: an fMRI study","Whitmer AJ, Banich MT.","Cogn Affect Behav Neurosci. 2012 Dec;12(4):661-70. doi: 10.3758/s13415-012-0118-6.","Whitmer AJ","Cogn Affect Behav Neurosci","2012","2012/09/08","","","10.3758/s13415-012-0118-6"
"25862416","Longitudinal alterations to brain function, structure, and cognitive performance in healthy older adults: A fMRI-DTI study","Hakun JG, Zhu Z, Brown CA, Johnson NF, Gold BT.","Neuropsychologia. 2015 May;71:225-35. doi: 10.1016/j.neuropsychologia.2015.04.008. Epub 2015 Apr 8.","Hakun JG","Neuropsychologia","2015","2015/04/12","PMC4417375","NIHMS681895","10.1016/j.neuropsychologia.2015.04.008"
"26859988","[Sex Differences in Visual Task Switching (an fMRI Study)]","Kuptsova SV, Ivanova MV, Petrushevsky AG, Fedina ON, Zhavoronkova LA.","Fiziol Cheloveka. 2015 Nov-Dec;41(6):49-64.","Kuptsova SV","Fiziol Cheloveka","2015","2016/02/11","","",""
"37891246","Modelling the overlap and divergence of autistic and schizotypal traits on hippocampal subfield volumes and regional cerebral blood flow","Nenadić I, Meller T, Evermann U, Pfarr JK, Federspiel A, Walther S, Grezellschak S, Abu-Akel A.","Mol Psychiatry. 2024 Jan;29(1):74-84. doi: 10.1038/s41380-023-02302-w. Epub 2023 Oct 27.","Nenadić I","Mol Psychiatry","2024","2023/10/27","PMC11078729","","10.1038/s41380-023-02302-w"
"35351911","The Dual Mechanisms of Cognitive Control dataset, a theoretically-guided within-subject task fMRI battery","Etzel JA, Brough RE, Freund MC, Kizhner A, Lin Y, Singh MF, Tang R, Tay A, Wang A, Braver TS.","Sci Data. 2022 Mar 29;9(1):114. doi: 10.1038/s41597-022-01226-4.","Etzel JA","Sci Data","2022","2022/03/30","PMC8964804","","10.1038/s41597-022-01226-4"
"29337277","Compensatory dopaminergic-cholinergic interactions in conflict processing: Evidence from patients with Parkinson's disease","Kim K, Bohnen NI, Müller MLTM, Lustig C.","Neuroimage. 2019 Apr 15;190:94-106. doi: 10.1016/j.neuroimage.2018.01.021. Epub 2018 Jan 11.","Kim K","Neuroimage","2019","2018/01/17","PMC6041186","NIHMS947590","10.1016/j.neuroimage.2018.01.021"
"16000652","Neural evidence for dissociable components of task-switching","Crone EA, Wendelken C, Donohue SE, Bunge SA.","Cereb Cortex. 2006 Apr;16(4):475-86. doi: 10.1093/cercor/bhi127. Epub 2005 Jul 6.","Crone EA","Cereb Cortex","2006","2005/07/08","","","10.1093/cercor/bhi127"
"22287257","Disturbed cortico-subcortical interactions during motor task switching in traumatic brain injury","Leunissen I, Coxon JP, Geurts M, Caeyenberghs K, Michiels K, Sunaert S, Swinnen SP.","Hum Brain Mapp. 2013 Jun;34(6):1254-71. doi: 10.1002/hbm.21508. Epub 2012 Jan 30.","Leunissen I","Hum Brain Mapp","2013","2012/01/31","PMC6870055","","10.1002/hbm.21508"
"26771696","[Neurobiological correlates of cognitive flexibility in ADHD - A systematic review of the literature]","Bálint S, Bitter I, Czobor P.","Psychiatr Hung. 2015;30(4):363-71.","Bálint S","Psychiatr Hung","2015","2016/01/16","","",""
"11438601","Attention systems and the organization of the human parietal cortex","Rushworth MF, Paus T, Sipila PK.","J Neurosci. 2001 Jul 15;21(14):5262-71. doi: 10.1523/JNEUROSCI.21-14-05262.2001.","Rushworth MF","J Neurosci","2001","2001/07/05","PMC6762864","","10.1523/JNEUROSCI.21-14-05262.2001"
"23182873","A carry-over task rule in task switching: an ERP investigation using a Go/Nogo paradigm","Umebayashi K, Okita T.","Biol Psychol. 2013 Feb;92(2):295-300. doi: 10.1016/j.biopsycho.2012.10.014. Epub 2012 Nov 24.","Umebayashi K","Biol Psychol","2013","2012/11/28","","","10.1016/j.biopsycho.2012.10.014"
"31525499","Defining the neural correlates of spontaneous theory of mind (ToM): An fMRI multi-study investigation","Boccadoro S, Cracco E, Hudson AR, Bardi L, Nijhof AD, Wiersema JR, Brass M, Mueller SC.","Neuroimage. 2019 Dec;203:116193. doi: 10.1016/j.neuroimage.2019.116193. Epub 2019 Sep 13.","Boccadoro S","Neuroimage","2019","2019/09/17","","","10.1016/j.neuroimage.2019.116193"
"31299496","Numbers in action during cognitive flexibility - A neurophysiological approach on numerical operations underlying task switching","Petruo VA, Mückschel M, Beste C.","Cortex. 2019 Nov;120:101-115. doi: 10.1016/j.cortex.2019.03.017. Epub 2019 Apr 4.","Petruo VA","Cortex","2019","2019/07/13","","","10.1016/j.cortex.2019.03.017"
"17675110","Left ventrolateral prefrontal cortex and the cognitive control of memory","Badre D, Wagner AD.","Neuropsychologia. 2007 Oct 1;45(13):2883-901. doi: 10.1016/j.neuropsychologia.2007.06.015. Epub 2007 Jun 29.","Badre D","Neuropsychologia","2007","2007/08/07","","","10.1016/j.neuropsychologia.2007.06.015"
"30003039","Neurophysiological correlates of the attention training technique: A component study","Rosenbaum D, Maier MJ, Hudak J, Metzger FG, Wells A, Fallgatter AJ, Ehlis AC.","Neuroimage Clin. 2018 Jun 18;19:1018-1024. doi: 10.1016/j.nicl.2018.06.021. eCollection 2018.","Rosenbaum D","Neuroimage Clin","2018","2018/07/14","PMC6039840","","10.1016/j.nicl.2018.06.021"
"25576977","The neural correlates of specific executive dysfunctions in Parkinson's disease","Gawrys L, Falkiewicz M, Pilacinski A, Riegel M, Piatkowska-Janko E, Bogorodzki P, Wolak T, Andrysiak R, Krolicki L, Kulinski R, Koziorowski D, Janik P, Rymarczyk K, Grabowska A, Kaczmarek L, Szatkowska I.","Acta Neurobiol Exp (Wars). 2014;74(4):465-78. doi: 10.55782/ane-2014-2009.","Gawrys L","Acta Neurobiol Exp (Wars)","2014","2015/01/11","","","10.55782/ane-2014-2009"
"10689059","The cognitive and neuroanatomical correlates of multitasking","Burgess PW, Veitch E, de Lacy Costello A, Shallice T.","Neuropsychologia. 2000;38(6):848-63. doi: 10.1016/s0028-3932(99)00134-7.","Burgess PW","Neuropsychologia","2000","2000/02/26","","","10.1016/s0028-3932(99)00134-7"
"39743174","The intrinsic functional connectivity of psychopathy and its relation to self-control","Kng JH, Luo L, Choy O, Yu J.","Biol Psychol. 2025 Jan;194:108979. doi: 10.1016/j.biopsycho.2024.108979. Epub 2024 Dec 30.","Kng JH","Biol Psychol","2025","2025/01/01","","","10.1016/j.biopsycho.2024.108979"
"41518864","The development of dynamic networks supporting attentional flexibility","Coleman SC, Rhodes N, Wong SM, Mithani K, Warsi NM, Suresh H, Anagnostou E, Crosbie J, Schachar R, Lerch JP, Taylor MJ, Ibrahim GM.","Dev Cogn Neurosci. 2026 Apr;78:101669. doi: 10.1016/j.dcn.2026.101669. Epub 2026 Jan 4.","Coleman SC","Dev Cogn Neurosci","2026","2026/01/10","PMC12819026","","10.1016/j.dcn.2026.101669"
"14568498","Co-ordination within and between verbal and visuospatial working memory: network modulation and anterior frontal recruitment","Kübler A, Murphy K, Kaufman J, Stein EA, Garavan H.","Neuroimage. 2003 Oct;20(2):1298-308. doi: 10.1016/S1053-8119(03)00400-2.","Kübler A","Neuroimage","2003","2003/10/22","","","10.1016/S1053-8119(03)00400-2"
"32201032","Context-dependent dynamic functional connectivity alteration of lateral occipital cortex in schizophrenia","Li K, Sweeney JA, Hu XP.","Schizophr Res. 2020 Jun;220:201-209. doi: 10.1016/j.schres.2020.03.020. Epub 2020 Mar 20.","Li K","Schizophr Res","2020","2020/03/24","","","10.1016/j.schres.2020.03.020"
"26190204","Neuro-oscillatory mechanisms of intersensory selective attention and task switching in school-aged children, adolescents and young adults","Murphy JW, Foxe JJ, Molholm S.","Dev Sci. 2016 May;19(3):469-87. doi: 10.1111/desc.12316. Epub 2015 Jul 17.","Murphy JW","Dev Sci","2016","2015/07/21","PMC5361894","NIHMS835408","10.1111/desc.12316"
"35553644","Brain connectivity modulation by Bayesian surprise in relation to control demand drives cognitive flexibility via control engagement","Qiao L, Zhang L, Chen A.","Cereb Cortex. 2023 Feb 20;33(5):1985-2000. doi: 10.1093/cercor/bhac187.","Qiao L","Cereb Cortex","2023","2022/05/13","","","10.1093/cercor/bhac187"
"24937544","Behavioral and neural correlates of executive functioning in musicians and non-musicians","Zuk J, Benjamin C, Kenyon A, Gaab N.","PLoS One. 2014 Jun 17;9(6):e99868. doi: 10.1371/journal.pone.0099868. eCollection 2014.","Zuk J","PLoS One","2014","2014/06/18","PMC4061064","","10.1371/journal.pone.0099868"
